"","title","stars","review","visitor_save"
"0","비엘라","4.74","199","182"
"2","더숲 초소책방","4.38","2,368","798"
"4","뼈탄집","4.46","376","367"
"5","H라운지","4.35","1,364","677"
"6","잘빠진메밀 서촌 본점","4.41","2,471","1,481"
"7","우래옥","4.37","4,990","4,187"
"8","서울신라호텔 더라이브러리","4.46","104","1,724"
"9","명동교자 본점","4.42","17,074","9,090"
"10","제철","4.93","184","43"
"11","로우앤슬로우","4.29","1,090","1,132"
"12","도마","4.51","2,167","1,176"
"13","애플하우스","4.34","6,500","4,755"
"14","이나세","4.34","1,170","227"
"15","워터밀","4.31","730","633"
"16","청수당","4.39","1,749","1,864"
"17","중앙해장","4.42","3,675","2,746"
"19","뉴만두집","4.37","912","662"
"20","봉피양 방이점","4.37","1,039","1,229"
"21","아우어베이커리 가로수길점","4.46","3,084","1,822"
"22","카페 노티드 삼성","4.5","8,394","2,529"
"23","도깨비불고기 동대문본점","4.26","614","368"
"24","부타이 1막","4.48","1,327","1,404"
"25","하이디라오 서초지점","4.63","4,187","1,382"
"26","서울커피 익선점","4.51","1,288","1,471"
"27","빌즈 잠실","4.2","2,538","1,889"
"28","부촌육회 본점","4.5","2,593","1,449"
"29","팀호완 삼성점","4.38","3,049","1,679"
"30","투썸플레이스 가산디지털점","4.4","1,671","86"
"31","옥경이네건생선","4.33","583","436"
"32","다운타우너 안국","4.56","5,780","2,339"
"33","초원","4.47","744","707"
"34","자하손만두","4.14","1,866","1,467"
"35","유림 강서점","4.33","2,303","1,545"
"36","제일곱창 본점","4.42","1,100","1,446"
"38","도동집","4.27","816","922"
"39","송계옥","4.64","876","689"
"42","깡통만두","4.42","2,362","1,640"
"43","원조만선호프","4.3","77","278"
"44","바이킹스워프 코엑스점","4.4","1,397","1,117"
"45","하이디라오 홍대점","4.61","3,965","805"
"46","유림면","4.25","1,660","1,087"
"47","대성집","4.38","2,232","898"
"48","워킹온더클라우드","4.69","4,954","1,614"
"49","그랜드 워커힐 서울 더뷔페","4.56","3,441","1,129"
"50","사람사는 고깃집 김일도 논현점","4.34","370","220"
"52","도트 블랭킷","4.54","967","665"
"53","갓덴스시 롯데월드몰점","4.46","2,653","960"
"54","스타벅스 금천구청역점","4.48","2,274","49"
"55","소이연남","4.48","3,305","3,208"
"56","금고깃집 마곡본점","4.45","1,441","944"
"57","장인닭갈비 강남점","4.29","1,719","1,834"
"58","카멜커피","4.43","1,483","1,045"
"59","랭맥","4.27","303","299"